"id","username","e-mail","password"
"110001","venaz_oyojo3","venaz_oyojo3@alfabank.ru","test123456"
"110002","zoduvon-ofe57","zoduvon-ofe57@alfabank.ru","test123456"
"110003","cuvom_awive11","cuvom_awive11@alfabank.ru","test123456"
"110004","mucaw-ehuye79","mucaw-ehuye79@alfabank.ru","test123456"
"110005","veboko_dawo99","veboko_dawo99@alfabank.ru","7 (991) 546-42-30"
"110006","safi-tokava15","safi-tokava15@alfabank.ru","7 (900) 309-50-42"
"110007","yanaw-ilaye69","yanaw-ilaye69@alfabank.ru","7 (933) 633-60-14"
"110008","hew_irokoyu26","hew_irokoyu26@alfabank.ru","7 (905) 203-90-35"
"110009","gubeh_enowa26","gubeh_enowa26@alfabank.ru","7 (938) 924-60-31"
"110010","kecogu-zopu54","kecogu-zopu54@alfabank.ru","7 (963) 308-54-51"
"110011","tekoza-bivu65","tekoza-bivu65@alfabank.ru","7 (995) 470-35-44"
"110012","yina-lusoxo14","yina-lusoxo14@alfabank.ru","7 (984) 086-69-85"
"110013","rawihi-yohi84","rawihi-yohi84@alfabank.ru","7 (901) 283-33-57"
"110014","palubem-uka96","palubem-uka96@alfabank.ru","7 (913) 736-30-58"
"110015","hafi_zinogo8","hafi_zinogo8@alfabank.ru","7 (902) 773-91-80"
"110016","bozezah-etu32","bozezah-etu32@alfabank.ru","7 (956) 839-20-17"
"110017","jobe-gexuti22","jobe-gexuti22@alfabank.ru","7 (960) 432-93-30"
"110018","yededi_mema4","yededi_mema4@alfabank.ru","7 (963) 676-88-01"
"110019","joxiro_muma5","joxiro_muma5@alfabank.ru","7 (929) 254-73-52"
"110020","yiz_owufaba37","yiz_owufaba37@alfabank.ru","7 (934) 554-28-37"
"110021","mojugom-ono33","mojugom-ono33@alfabank.ru","7 (968) 501-69-49"
"110022","zokoy-isepe14","zokoy-isepe14@alfabank.ru","7 (980) 532-65-55"
"110023","voremaz-ahu94","voremaz-ahu94@alfabank.ru","7 (952) 298-73-03"
"110024","cep_abepaji1","cep_abepaji1@alfabank.ru","7 (903) 787-86-69"
"110025","futomo_vazi1","futomo_vazi1@alfabank.ru","7 (989) 483-03-02"
"110026","riniva-newe3","riniva-newe3@alfabank.ru","7 (903) 085-40-31"
